num_qubits,depth,batches,shots,qpu_seconds,error
2,5,1,1000,1.520187,
2,5,3,1000,1.095193,
2,5,6,1000,2.007431,
2,5,9,1000,2.923184,
2,5,11,1000,3.564259,
2,5,14,1000,4.484769,
2,5,17,1000,5.407944,
2,5,19,1000,5.988778,
2,5,22,1000,6.920724,
2,5,25,1000,7.851567,
1,5,1,1000,0.413873,
3,5,1,1000,0.434478,
7,5,1,1000,0.483295,
9,5,1,1000,0.516499,
11,5,1,1000,0.503262,
13,5,1,1000,0.526482,
15,5,1,1000,0.545289,
17,5,1,1000,0.555127,
2,1,1,1000,0.442143,
2,12,1,1000,0.425402,
2,23,1,1000,0.447545,
2,34,1,1000,0.44469,
2,45,1,1000,0.440113,
2,56,1,1000,0.43772,
2,67,1,1000,0.457058,
2,78,1,1000,0.426314,
2,89,1,1000,0.444921,
2,100,1,1000,0.407147,
2,5,1,1000,0.445408,
2,5,1,6444,2.102037,
2,5,1,11888,3.805426,
2,5,1,17333,5.472056,
2,5,1,22777,7.154728,
2,5,1,28222,8.809141,
2,5,1,33666,10.462587,
2,5,1,39111,12.160215,
2,5,1,44555,13.823762,
2,5,1,50000,15.530501,
15,42,23,1009,11.064148,
6,23,10,2000,6.916667,
10,62,15,32859,204.304485,
3,8,3,2978,2.912625,
11,80,22,7066,72.487963,
5,93,5,22293,43.470179,
1,62,16,40269,198.38364,
3,16,11,46325,160.695902,
4,51,24,9288,80.128284,
15,99,19,45687,500.615839,
7,46,7,14378,38.027071,
1,4,9,37142,102.957928,
12,14,4,33816,46.861577,
3,17,14,12781,56.905773,
16,94,4,25664,57.154087,
7,37,19,26701,179.902929,
7,11,20,16373,105.495525,
6,88,19,25348,198.695363,
14,25,7,12231,33.331353,
10,47,11,31195,138.722928,
6,88,13,18572,101.107806,
4,49,21,43862,316.302666,
13,28,3,9997,11.516589,
1,66,22,4400,29.900061,
2,81,12,31704,117.372528,
5,73,21,45084,359.890054,
16,27,2,48051,34.636425,
16,58,14,15092,109.938234,
9,57,18,8097,58.388129,
16,82,6,19430,67.281639,
19,22,1,39281,16.703767,
13,30,12,29337,134.981257,
13,53,16,37540,265.453423,
2,10,1,20181,6.34092,
12,68,17,22928,181.507939,
17,6,6,34507,68.032983,
10,44,5,5728,11.900842,
8,77,23,16789,163.188685,
11,54,10,47898,191.432578,
9,96,13,24471,151.081846,
18,39,16,42871,303.273027,
4,71,24,6499,56.713794,
13,74,15,29783,210.444727,
19,65,2,28241,31.844398,
18,32,9,11776,44.539493,
15,84,10,41791,244.922529,
18,19,8,20657,62.662945,
18,90,20,38807,449.89868,
9,35,5,35765,65.820159,
