num_qubits,depth,batches,shots,qpu_seconds,error
2,5,1,1000,1.300504,
2,5,3,1000,2.058998,
2,5,6,1000,3.873915,
2,5,9,1000,4.526423,
2,5,11,1000,5.865092,
2,5,14,1000,6.737107,
2,5,17,1000,8.390014,
2,5,19,1000,8.608834,
2,5,22,1000,10.50175,
2,5,25,1000,11.164918,
1,5,1,1000,1.582883,
6,5,1,1000,1.340178,
12,5,1,1000,1.920825,
18,5,1,1000,1.354957,
24,5,1,1000,1.760688,
29,5,1,1000,1.830981,
35,5,1,1000,1.496417,
41,5,1,1000,1.985221,
47,5,1,1000,2.054879,
53,5,1,1000,1.658646,
2,1,1,1000,1.612682,
2,12,1,1000,1.219945,
2,23,1,1000,1.780208,
2,34,1,1000,1.198497,
2,45,1,1000,1.703422,
2,56,1,1000,1.207582,
2,67,1,1000,1.770294,
2,78,1,1000,1.153236,
2,89,1,1000,1.18293,
2,100,1,1000,1.553666,
2,5,1,1000,1.222072,
2,5,1,6444,3.960189,
2,5,1,11888,5.644559,
2,5,1,17333,8.46683,
2,5,1,22777,10.116362,
2,5,1,28222,12.82549,
2,5,1,33666,14.564657,
2,5,1,39111,17.127212,
2,5,1,44555,18.939797,
2,5,1,50000,21.543466,
12,9,17,40972,307.415559,
17,38,17,6783,65.118658,
44,41,9,35954,237.306921,
37,38,11,14710,107.841684,
34,85,7,13713,90.535057,
46,27,2,18702,24.006198,
21,20,4,16400,32.937878,
42,4,12,47269,259.504381,
29,88,5,37969,158.765911,
51,6,24,5340,63.277058,
3,97,22,7589,74.977178,
41,28,13,2312,23.40493,
5,67,16,48728,363.869759,
25,23,3,10512,17.167646,
16,18,7,4743,16.915538,
11,94,18,3798,42.042709,
5,86,23,8488,96.839515,
45,26,12,17014,129.970342,
9,72,18,33526,313.441081,
9,78,11,41554,232.136229,
1,33,14,11728,68.717576,
33,36,18,24464,271.27197,
2,52,20,39179,321.513293,
15,21,2,29068,27.760968,
7,93,13,32556,217.331122,
22,44,21,31685,375.106531,
24,11,4,12135,24.06544,
41,15,3,29870,48.351509,
31,55,6,44529,187.358346,
19,52,9,20608,110.292513,
20,14,20,9263,86.257496,
23,46,16,36577,349.026369,
